time_stamp,summary
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 6 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 6 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 0 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 0 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 6 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 6 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 26 Kbps |5gMAC| 1 Kbps |5gRLC| 1 Kbps |5gPDCP| 1 Kbps |IPA| 1 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 24 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 16 Kbps |5gMAC| 1 Kbps |5gRLC| 1 Kbps |5gPDCP| 1 Kbps |IPA| 2 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 14 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 90 Kbps |5gMAC| 20 Kbps |5gRLC| 18 Kbps |5gPDCP| 18 Kbps |IPA| 18 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 16 Kbps | 5gMAC Pad: 52 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 6 Kbps |5gMAC| 1 Kbps |5gRLC| 1 Kbps |5gPDCP| 1 Kbps |IPA| 1 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 5 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 0 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 0 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 109 Kbps |5gMAC| 31 Kbps |5gRLC| 31 Kbps |5gPDCP| 31 Kbps |IPA| 31 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 76 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 12 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 11 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 13 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c   1001] ENL2DL   | NR | Last   2000 ms | 5gPHY drop 0 Kbps | 5gMAC Pad: 13 Kbps | 5gMACData drop: 0 Kbps | 5gPDCP drop: 0 Kbps (FC 0 Kbps) | TPUT
2020/7/31 03:15,[enl2_dl_qsh.c    931] ENL2DL   | NR | Last   2000 ms |DL 5gPHY| 3 Kbps |5gMAC| 0 Kbps |5gRLC| 0 Kbps |5gPDCP| 0 Kbps |IPA| 0 Kbps |AP | TPUT
